model,term,coef,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,concordance,partial_AIC
cox_demographics,admission_type_SURGICAL SAME DAY ADMISSION,-0.8563178334521803,0.4247231077957188,0.3338633199361958,0.5403100835699107,3.110706872842902e-12,0.7291444319031632,97595.15095935744
cox_demographics,admission_type_URGENT,0.446923008304721,1.5634939186049692,1.365495252489953,1.7902026602122576,9.859224281525588e-11,0.7291444319031632,97595.15095935744
cox_demographics,insurance_Medicare,-0.005058184787998628,0.994954586286784,0.8966321994467215,1.1040587538390405,0.924093593257893,0.7291444319031632,97595.15095935744
cox_demographics,insurance_No charge,-1.7793399688771225,0.16874949043523269,0.0008780932084238571,32.429803862467736,0.5071952203749037,0.7291444319031632,97595.15095935744
cox_demographics,insurance_Other,-0.0003613132715391236,0.9996387519942402,0.753810063411587,1.3256358371843433,0.9979981468232136,0.7291444319031632,97595.15095935744
cox_demographics,insurance_Private,-0.02946775300621204,0.9709621877479998,0.8573690437267856,1.099605329740375,0.6425021642716764,0.7291444319031632,97595.15095935744
cox_demographics,insurance_UNKNOWN,0.7809649259771165,2.1835782406472006,1.630983352054196,2.923398284245324,1.5550698148531084e-07,0.7291444319031632,97595.15095935744
cox_demographics,race_simple_BLACK,-0.3050848206362525,0.7370608537695722,0.6306080057960977,0.8614839919035048,0.0001263892413295098,0.7291444319031632,97595.15095935744
cox_demographics,race_simple_HISPANIC/LATINO,-0.44466745877546004,0.6410374119580623,0.5062416081511864,0.8117249884509073,0.00022269098050389666,0.7291444319031632,97595.15095935744
cox_demographics,race_simple_OTHER,-0.048114129507208496,0.953025012595389,0.7863476254954679,1.1550320051645862,0.6237537440003837,0.7291444319031632,97595.15095935744
cox_demographics,race_simple_UNKNOWN,0.3870083877143927,1.4725688427082113,1.2605704693788076,1.7202203678336117,1.0623922920617612e-06,0.7291444319031632,97595.15095935744
cox_demographics,race_simple_WHITE,0.03663147669695172,1.0373106772341587,0.9097266642225592,1.1827876255815106,0.5843437171583543,0.7291444319031632,97595.15095935744
cox_demographics,marital_status_MARRIED,-0.038715772715154466,0.9620241037903938,0.8738356184430364,1.059112671468703,0.4299821888179597,0.7291444319031632,97595.15095935744
cox_demographics,marital_status_SINGLE,0.019994107887322487,1.0201953289032157,0.9180111200171583,1.1337537056157743,0.7104086447417839,0.7291444319031632,97595.15095935744
cox_demographics,marital_status_UNKNOWN,0.46741761490827943,1.595867722427468,1.3970613939535808,1.822964830685497,5.7495572800931716e-12,0.7291444319031632,97595.15095935744
cox_demographics,marital_status_WIDOWED,-0.01422724364559147,0.9858734853209444,0.8887319894596521,1.0936328843634948,0.7880714436966207,0.7291444319031632,97595.15095935744
cox_comorbidity_split,anchor_age,0.033297812228259165,1.0338583890688615,1.0312862886840788,1.0364369044525268,2.6791580093652555e-151,0.7156813723174374,98068.676103159
cox_comorbidity_split,gender_male,0.006078831429173627,1.0060973450196,0.9512733418238074,1.0640809777290818,0.8316146589505152,0.7156813723174374,98068.676103159
cox_comorbidity_split,myocardial_infarct,0.2586700035642818,1.2952063208284366,1.2197841881548528,1.3752919818148746,2.905874498201147e-17,0.7156813723174374,98068.676103159
cox_comorbidity_split,peripheral_vascular_disease,0.07336701368247585,1.0761254171992094,1.0143409842390683,1.1416731962288873,0.015017334578073733,0.7156813723174374,98068.676103159
cox_comorbidity_split,cerebrovascular_disease,0.28492199824776543,1.329658308398438,1.2253923504451403,1.4427960289214707,8.003584794885128e-12,0.7156813723174374,98068.676103159
cox_comorbidity_split,dementia,0.43320790983817214,1.5421968252634262,1.406368087228351,1.6911440677951164,3.282978409899561e-20,0.7156813723174374,98068.676103159
cox_comorbidity_split,chronic_pulmonary_disease,0.16602006268359376,1.1805967874254737,1.1125704632597107,1.2527824713192912,4.184206445196733e-08,0.7156813723174374,98068.676103159
cox_comorbidity_split,rheumatic_disease,-0.018387731356259842,0.9817802915465045,0.863612473360471,1.1161169744555224,0.7786930900926912,0.7156813723174374,98068.676103159
cox_comorbidity_split,peptic_ulcer_disease,0.23766074160506653,1.2682788455841003,1.0676980187863423,1.5065413645560228,0.006815515528204596,0.7156813723174374,98068.676103159
cox_comorbidity_split,mild_liver_disease,0.034662007737585765,1.035269736498542,0.9289076791472866,1.1538104930875694,0.5308738209630746,0.7156813723174374,98068.676103159
cox_comorbidity_split,diabetes_without_cc,-0.020320465891155968,0.9798846033924395,0.9204180774260247,1.043193152671134,0.52467807184571,0.7156813723174374,98068.676103159
cox_comorbidity_split,diabetes_with_cc,-0.11603886876742708,0.8904406122957665,0.822896869755731,0.9635283753856297,0.0039382774894702165,0.7156813723174374,98068.676103159
cox_comorbidity_split,paraplegia,0.7218388432171329,2.0582144667214006,1.7988631800359347,2.3549577522269565,8.241874871053914e-26,0.7156813723174374,98068.676103159
cox_comorbidity_split,renal_disease,0.2878858262322437,1.3336050327195657,1.2581542159439465,1.4135805935050734,3.3819958342231624e-22,0.7156813723174374,98068.676103159
cox_comorbidity_split,malignant_cancer,0.5182977990628267,1.67916693610264,1.5499314874697594,1.8191782166470378,7.229579797256023e-37,0.7156813723174374,98068.676103159
cox_comorbidity_split,severe_liver_disease,1.030100792581964,2.8013481755855043,2.484128541109418,3.1590763001947955,2.455814410370474e-63,0.7156813723174374,98068.676103159
cox_comorbidity_split,metastatic_solid_tumor,1.0456454733588345,2.8452344541056913,2.5685124959145744,3.1517694041615254,3.024187609384675e-89,0.7156813723174374,98068.676103159
cox_comorbidity_split,aids,0.5343876275907397,1.706402968141593,1.015936591685011,2.86613467170522,0.04341228099554839,0.7156813723174374,98068.676103159
cox_full_penalized,anchor_age,0.030319688056722395,1.0307840106230892,1.0278441108503513,1.0337323192689067,3.821754171674607e-96,0.7453537845199425,97184.75779038928
cox_full_penalized,gender_male,0.003092341956684755,1.0030971281783463,0.9459012524740311,1.0637514708093383,0.9177763317568924,0.7453537845199425,97184.75779038928
cox_full_penalized,cci_without_hf,0.09745058220585191,1.1023569641677278,1.0653548753999076,1.1406442158467966,2.2167972466886388e-08,0.7453537845199425,97184.75779038928
cox_full_penalized,myocardial_infarct,0.0697286017548741,1.0722171439112393,1.001006463615249,1.14849368658928,0.046739428015478035,0.7453537845199425,97184.75779038928
cox_full_penalized,peripheral_vascular_disease,-0.01537232061361011,0.9847452303921704,0.9203353553704785,1.05366284487655,0.6560287479266796,0.7453537845199425,97184.75779038928
cox_full_penalized,cerebrovascular_disease,0.17197105967441667,1.1876434619280851,1.0878211785307188,1.2966257878575547,0.00012345146687692133,0.7453537845199425,97184.75779038928
cox_full_penalized,dementia,0.32756385587915265,1.3875836538431594,1.2575949478414823,1.5310083741330558,6.710087454818644e-11,0.7453537845199425,97184.75779038928
cox_full_penalized,chronic_pulmonary_disease,0.029947109765337047,1.030400034412666,0.9630774246761235,1.1024287390753387,0.3850239498519351,0.7453537845199425,97184.75779038928
cox_full_penalized,rheumatic_disease,-0.08852340103358164,0.9152816919477778,0.8021120220975669,1.0444184260248952,0.18865192321637247,0.7453537845199425,97184.75779038928
cox_full_penalized,peptic_ulcer_disease,0.044357182317982156,1.0453556707751612,0.8772682614230466,1.2456491662529434,0.6199352097596712,0.7453537845199425,97184.75779038928
cox_full_penalized,mild_liver_disease,-0.024826538351263,0.9754791055675736,0.8756484049888372,1.0866912792595607,0.6522077608219944,0.7453537845199425,97184.75779038928
cox_full_penalized,diabetes_without_cc,-0.09769716256900925,0.906923512557558,0.8472648620087806,0.9707829210332755,0.00489181515227776,0.7453537845199425,97184.75779038928
cox_full_penalized,diabetes_with_cc,-0.2386105389717472,0.787721609507694,0.7144222404067225,0.8685414576849351,1.6826848984072393e-06,0.7453537845199425,97184.75779038928
cox_full_penalized,paraplegia,0.3878502113006818,1.4738090078193196,1.2680503258686269,1.7129548782233457,4.2958495620483077e-07,0.7453537845199425,97184.75779038928
cox_full_penalized,renal_disease,0.09361477139585407,1.098136630782942,1.0060550506728452,1.1986461964092405,0.036165192354770066,0.7453537845199425,97184.75779038928
cox_full_penalized,malignant_cancer,0.3849972575912316,1.4696102911634694,1.3342680660422845,1.6186810303418684,5.708268686717515e-15,0.7453537845199425,97184.75779038928
cox_full_penalized,severe_liver_disease,0.7001909716055047,2.014137313781385,1.7481268100890905,2.3206263386348662,3.372067506897947e-22,0.7453537845199425,97184.75779038928
cox_full_penalized,metastatic_solid_tumor,0.6054587803832474,1.8320925442259337,1.5221420688503988,2.2051575600583107,1.5265392366633936e-10,0.7453537845199425,97184.75779038928
cox_full_penalized,aids,0.006029382656203046,1.0060475959704247,0.5824347657228285,1.7377598744500917,0.9827502270963053,0.7453537845199425,97184.75779038928
cox_full_penalized,admission_type_DIRECT EMER.,0.1380784972766961,1.1480656667654923,0.9486854015280601,1.389348642956544,0.15598255022587926,0.7453537845199425,97184.75779038928
cox_full_penalized,admission_type_DIRECT OBSERVATION,-0.957180609773938,0.3839739336670067,0.28023641187632437,0.5261128657355998,2.5723264145772154e-09,0.7453537845199425,97184.75779038928
cox_full_penalized,admission_type_ELECTIVE,-0.7072977386187553,0.4929745452532677,0.3645155194047893,0.6667038557493941,4.3897304238529525e-06,0.7453537845199425,97184.75779038928
cox_full_penalized,admission_type_EU OBSERVATION,-0.6287848047852083,0.533239397413253,0.42399501317214583,0.670631130367099,7.624342872172815e-08,0.7453537845199425,97184.75779038928
cox_full_penalized,admission_type_EW EMER.,0.347159150371471,1.415041911896619,1.243696161237829,1.6099942050405154,1.352025430196e-07,0.7453537845199425,97184.75779038928
cox_full_penalized,admission_type_OBSERVATION ADMIT,0.07316451861109304,1.0759075291674076,0.9388942920873025,1.232915165290492,0.29246406648335777,0.7453537845199425,97184.75779038928
cox_full_penalized,admission_type_SURGICAL SAME DAY ADMISSION,-0.8531872018319316,0.42605484288514645,0.3348356326263184,0.5421248859390927,3.901040646055704e-12,0.7453537845199425,97184.75779038928
cox_full_penalized,admission_type_URGENT,0.47264469634657763,1.6042312924654882,1.4007618915595565,1.8372558928342821,8.480727864353523e-12,0.7453537845199425,97184.75779038928
cox_full_penalized,insurance_Medicare,0.012804702399924059,1.0128870336353952,0.9123789057951535,1.1244671883471333,0.8102141719591102,0.7453537845199425,97184.75779038928
cox_full_penalized,insurance_No charge,-1.7792296429303567,0.16876810890956273,0.0008779130319443483,32.44361747521658,0.5072470360466095,0.7453537845199425,97184.75779038928
cox_full_penalized,insurance_Other,-0.11497146304510669,0.8913915811452224,0.6722218777585235,1.1820188798169546,0.42456613548689726,0.7453537845199425,97184.75779038928
cox_full_penalized,insurance_Private,-0.05814559505688252,0.9435125666702472,0.8330448497920897,1.0686290944441423,0.36008431379324723,0.7453537845199425,97184.75779038928
cox_full_penalized,insurance_UNKNOWN,0.8048496960999729,2.2363603398766703,1.6702236023299155,2.9943940217325458,6.505764374753274e-08,0.7453537845199425,97184.75779038928
cox_full_penalized,race_simple_BLACK,-0.2518056250932758,0.7773958296261382,0.6649122134488489,0.9089083697010528,0.0015902470623997149,0.7453537845199425,97184.75779038928
cox_full_penalized,race_simple_HISPANIC/LATINO,-0.3881252896637413,0.678327350534205,0.5353544540203102,0.8594828921798751,0.0013098675993155917,0.7453537845199425,97184.75779038928
cox_full_penalized,race_simple_OTHER,-0.054149496692944624,0.947290479121763,0.7816552875897366,1.1480242839548624,0.5808018180251284,0.7453537845199425,97184.75779038928
cox_full_penalized,race_simple_UNKNOWN,0.3644998265650884,1.439793681468875,1.2326167001887576,1.6817927624055757,4.257910572339622e-06,0.7453537845199425,97184.75779038928
cox_full_penalized,race_simple_WHITE,0.02535010343949636,1.0256741497197028,0.8995818874464465,1.169440465713982,0.7048585385129658,0.7453537845199425,97184.75779038928
cox_full_penalized,marital_status_MARRIED,-0.04226745970356758,0.958613355838383,0.8706339979195229,1.055483209003594,0.38948094247329457,0.7453537845199425,97184.75779038928
cox_full_penalized,marital_status_SINGLE,0.015037391982566525,1.0151510224153883,0.9133150795459903,1.12834181914886,0.7803960505986794,0.7453537845199425,97184.75779038928
cox_full_penalized,marital_status_UNKNOWN,0.45456518038697913,1.5754881809139827,1.3788212261969208,1.8002065540040881,2.359602596371243e-11,0.7453537845199425,97184.75779038928
cox_full_penalized,marital_status_WIDOWED,-0.015069035490451157,0.9850439342645808,0.8878271199300565,1.092905961813698,0.776229305402137,0.7453537845199425,97184.75779038928
