model,feature,importance_mean,importance_std
coxnet,pco2_first_24h_missing,0.0,0.0
coxnet,ph_first_24h_missing,0.0,0.0
coxnet,platelet_first_24h_missing,0.0,0.0
coxnet,po2_first_24h_missing,0.0,0.0
coxnet,potassium_first_24h_missing,0.0,0.0
coxnet,sodium_first_24h_missing,0.0,0.0
coxnet,wbc_first_24h_missing,0.0,0.0
coxnet,bicarbonate_last_24h_missing,0.0,0.0
coxnet,bun_last_24h_missing,0.0,0.0
coxnet,chloride_last_24h_missing,0.0,0.0
coxnet,creatinine_last_24h_missing,0.0,0.0
coxnet,hemoglobin_last_24h_missing,0.0,0.0
coxnet,lactate_last_24h_missing,0.0,0.0
coxnet,pco2_last_24h_missing,0.0,0.0
coxnet,ph_last_24h_missing,0.0,0.0
coxnet,platelet_last_24h_missing,0.0,0.0
coxnet,po2_last_24h_missing,0.0,0.0
coxnet,potassium_last_24h_missing,0.0,0.0
coxnet,sodium_last_24h_missing,0.0,0.0
coxnet,wbc_last_24h_missing,0.0,0.0
coxnet,bicarbonate_min_24h_missing,0.0,0.0
coxnet,bun_min_24h_missing,0.0,0.0
coxnet,chloride_min_24h_missing,0.0,0.0
coxnet,creatinine_min_24h_missing,0.0,0.0
coxnet,hemoglobin_min_24h_missing,0.0,0.0
coxnet,lactate_min_24h_missing,0.0,0.0
coxnet,pco2_min_24h_missing,0.0,0.0
coxnet,ph_min_24h_missing,0.0,0.0
coxnet,platelet_min_24h_missing,0.0,0.0
coxnet,po2_min_24h_missing,0.0,0.0
coxnet,potassium_min_24h_missing,0.0,0.0
coxnet,sodium_min_24h_missing,0.0,0.0
coxnet,wbc_min_24h_missing,0.0,0.0
coxnet,bicarbonate_max_24h_missing,0.0,0.0
coxnet,bun_max_24h_missing,0.0,0.0
coxnet,chloride_max_24h_missing,0.0,0.0
coxnet,creatinine_max_24h_missing,0.0,0.0
coxnet,hemoglobin_max_24h_missing,0.0,0.0
coxnet,lactate_max_24h_missing,0.0,0.0
coxnet,pco2_max_24h_missing,0.0,0.0
coxnet,ph_max_24h_missing,0.0,0.0
coxnet,platelet_max_24h_missing,0.0,0.0
coxnet,po2_max_24h_missing,0.0,0.0
coxnet,potassium_max_24h_missing,0.0,0.0
coxnet,sodium_max_24h_missing,0.0,0.0
coxnet,wbc_max_24h_missing,0.0,0.0
coxnet,bicarbonate_mean_24h_missing,0.0,0.0
coxnet,bun_mean_24h_missing,0.0,0.0
coxnet,chloride_mean_24h_missing,0.0,0.0
coxnet,creatinine_mean_24h_missing,0.0,0.0
coxnet,hemoglobin_mean_24h_missing,0.0,0.0
coxnet,lactate_mean_24h_missing,0.0,0.0
coxnet,pco2_mean_24h_missing,0.0,0.0
coxnet,ph_mean_24h_missing,0.0,0.0
coxnet,platelet_mean_24h_missing,0.0,0.0
coxnet,po2_mean_24h_missing,0.0,0.0
coxnet,potassium_mean_24h_missing,0.0,0.0
coxnet,sodium_mean_24h_missing,0.0,0.0
coxnet,wbc_mean_24h_missing,0.0,0.0
coxnet,bicarbonate_std_24h_missing,0.0,0.0
coxnet,bun_std_24h_missing,0.0,0.0
coxnet,chloride_std_24h_missing,0.0,0.0
coxnet,creatinine_std_24h_missing,0.0,0.0
coxnet,hemoglobin_std_24h_missing,0.0,0.0
coxnet,lactate_std_24h_missing,0.0,0.0
coxnet,pco2_std_24h_missing,0.0,0.0
coxnet,ph_std_24h_missing,0.0,0.0
coxnet,platelet_std_24h_missing,0.0,0.0
coxnet,po2_std_24h_missing,0.0,0.0
coxnet,potassium_std_24h_missing,0.0,0.0
coxnet,sodium_std_24h_missing,0.0,0.0
coxnet,wbc_std_24h_missing,0.0,0.0
coxnet,bicarbonate_count_24h_missing,0.0,0.0
coxnet,bun_count_24h_missing,0.0,0.0
coxnet,chloride_count_24h_missing,0.0,0.0
coxnet,creatinine_count_24h_missing,0.0,0.0
coxnet,hemoglobin_count_24h_missing,0.0,0.0
coxnet,lactate_count_24h_missing,0.0,0.0
coxnet,pco2_count_24h_missing,0.0,0.0
coxnet,ph_count_24h_missing,0.0,0.0
coxnet,platelet_count_24h_missing,0.0,0.0
coxnet,po2_count_24h_missing,0.0,0.0
coxnet,potassium_count_24h_missing,0.0,0.0
coxnet,sodium_count_24h_missing,0.0,0.0
coxnet,wbc_count_24h_missing,0.0,0.0
coxnet,bicarbonate_slope_24h_missing,0.0,0.0
coxnet,bun_slope_24h_missing,0.0,0.0
coxnet,chloride_slope_24h_missing,0.0,0.0
coxnet,creatinine_slope_24h_missing,0.0,0.0
coxnet,hemoglobin_slope_24h_missing,0.0,0.0
coxnet,lactate_slope_24h_missing,0.0,0.0
coxnet,pco2_slope_24h_missing,0.0,0.0
coxnet,ph_slope_24h_missing,0.0,0.0
coxnet,platelet_slope_24h_missing,0.0,0.0
coxnet,po2_slope_24h_missing,0.0,0.0
coxnet,potassium_slope_24h_missing,0.0,0.0
coxnet,sodium_slope_24h_missing,0.0,0.0
coxnet,wbc_slope_24h_missing,0.0,0.0
coxnet,admission_type_DIRECT EMER.,0.0,0.0
coxnet,admission_type_DIRECT OBSERVATION,0.0,0.0
coxnet,admission_type_ELECTIVE,0.0,0.0
coxnet,admission_type_EU OBSERVATION,0.0,0.0
coxnet,admission_type_EW EMER.,0.0,0.0
coxnet,admission_type_OBSERVATION ADMIT,0.0,0.0
coxnet,admission_type_SURGICAL SAME DAY ADMISSION,0.0,0.0
coxnet,admission_type_URGENT,0.0,0.0
coxnet,insurance_Medicare,0.0,0.0
coxnet,insurance_No charge,0.0,0.0
coxnet,insurance_Other,0.0,0.0
coxnet,insurance_Private,0.0,0.0
coxnet,insurance_UNKNOWN,0.0,0.0
coxnet,race_simple_BLACK,0.0,0.0
coxnet,race_simple_HISPANIC/LATINO,0.0,0.0
coxnet,race_simple_OTHER,0.0,0.0
coxnet,race_simple_UNKNOWN,0.0,0.0
coxnet,race_simple_WHITE,0.0,0.0
coxnet,marital_status_MARRIED,0.0,0.0
coxnet,marital_status_SINGLE,0.0,0.0
coxnet,marital_status_UNKNOWN,0.0,0.0
coxnet,marital_status_WIDOWED,0.0,0.0
coxnet,first_careunit_Coronary Care Unit (CCU),0.0,0.0
coxnet,first_careunit_Intensive Care Unit (ICU),0.0,0.0
coxnet,first_careunit_Med/Surg,0.0,0.0
