model,feature,importance_mean,importance_std
random_survival_forest,race_simple_OTHER,0.0,0.0
random_survival_forest,first_careunit_Intensive Care Unit (ICU),0.0,0.0
random_survival_forest,first_careunit_Med/Surg,0.0,0.0
random_survival_forest,first_careunit_Medicine,0.0,0.0
random_survival_forest,first_careunit_Medicine/Cardiology Intermediate,0.0,0.0
random_survival_forest,first_careunit_Neuro Stepdown,0.0,0.0
random_survival_forest,first_careunit_Neurology,0.0,0.0
random_survival_forest,first_careunit_PACU,0.0,0.0
random_survival_forest,first_careunit_Surgery/Trauma,0.0,0.0
random_survival_forest,first_careunit_Surgery/Vascular/Intermediate,0.0,0.0
random_survival_forest,last_careunit_Intensive Care Unit (ICU),0.0,0.0
random_survival_forest,last_careunit_Med/Surg,0.0,0.0
random_survival_forest,last_careunit_Medicine,0.0,0.0
random_survival_forest,last_careunit_Medicine/Cardiology Intermediate,0.0,0.0
random_survival_forest,last_careunit_Neuro Stepdown,0.0,0.0
random_survival_forest,last_careunit_Neurology,0.0,0.0
random_survival_forest,last_careunit_PACU,0.0,0.0
random_survival_forest,last_careunit_Surgery/Trauma,0.0,0.0
random_survival_forest,last_careunit_Surgery/Vascular/Intermediate,0.0,0.0
random_survival_forest,last_careunit_Trauma SICU (TSICU),0.0,0.0
random_survival_forest,icu_los_group_UNKNOWN,0.0,0.0
random_survival_forest,mbp_first_24h_missing,-1.2473805009405314e-05,0.00011226424508531396
random_survival_forest,wbc_count_24h_missing,-1.2473805009405314e-05,0.00018710707514218994
random_survival_forest,dbp_std_24h,-1.2473805009460825e-05,0.0004116355653128734
random_survival_forest,temperature_count_24h,-1.2473805009460825e-05,1.2473805009460825e-05
random_survival_forest,sbp_first_24h_missing,-1.2473805009460825e-05,1.2473805009460825e-05
random_survival_forest,dbp_max_24h_missing,-1.2473805009460825e-05,1.2473805009460825e-05
random_survival_forest,sbp_max_24h_missing,-1.2473805009460825e-05,6.236902504741515e-05
random_survival_forest,sodium_slope_24h_missing,-1.2473805009460825e-05,1.2473805009460825e-05
random_survival_forest,glucose_first_24h_missing,-2.494761001892165e-05,2.494761001892165e-05
random_survival_forest,heart_rate_last_24h_missing,-2.494761001892165e-05,4.9895220037954324e-05
random_survival_forest,resp_rate_mean_24h_missing,-2.494761001892165e-05,2.494761001892165e-05
random_survival_forest,sbp_mean_24h_missing,-2.494761001892165e-05,4.9895220037954324e-05
